motor,n,二連率,三連率,展示偏差,判定,暫定
27,20,65.0,70.0,-0.001,,n不足
12,24,58.3,79.2,-0.053,,n不足
40,23,56.5,69.6,-0.011,,n不足
61,23,56.5,65.2,-0.015,,n不足
41,18,55.6,61.1,-0.026,,n不足
30,23,52.2,60.9,-0.025,,n不足
19,18,50.0,61.1,0.003,,n不足
58,18,50.0,55.6,-0.001,,n不足
29,17,47.1,47.1,0.01,,n不足
62,15,46.7,66.7,0.022,,n不足
11,22,45.5,59.1,0.01,,n不足
43,18,44.4,61.1,-0.053,,n不足
26,23,43.5,65.2,-0.026,,n不足
68,23,43.5,69.6,-0.035,,n不足
36,21,42.9,61.9,-0.049,,n不足
64,14,42.9,64.3,-0.043,,n不足
21,17,41.2,82.4,0.009,,n不足
47,22,40.9,54.5,0.008,,n不足
33,20,40.0,65.0,0.026,,n不足
17,30,40.0,50.0,0.025,,n不足
60,15,40.0,46.7,-0.027,,n不足
23,23,39.1,78.3,0.033,,n不足
73,23,39.1,56.5,-0.003,,n不足
55,18,38.9,50.0,0.004,,n不足
51,21,38.1,52.4,-0.009,,n不足
50,16,37.5,62.5,0.003,,n不足
31,17,35.3,52.9,-0.09,,n不足
48,17,35.3,52.9,-0.001,,n不足
15,17,35.3,52.9,0.007,,n不足
10,20,35.0,45.0,-0.005,,n不足
52,18,33.3,33.3,-0.001,,n不足
46,15,33.3,33.3,0.023,,n不足
72,22,31.8,45.5,0.021,,n不足
18,16,31.2,68.8,-0.034,,n不足
38,16,31.2,43.8,-0.011,,n不足
56,16,31.2,43.8,0.011,,n不足
49,20,30.0,40.0,0.01,,n不足
66,24,29.2,45.8,0.026,,n不足
53,21,28.6,47.6,-0.001,,n不足
65,18,27.8,55.6,-0.03,,n不足
28,22,27.3,45.5,-0.043,,n不足
13,22,27.3,54.5,-0.049,,n不足
54,22,27.3,36.4,0.051,,n不足
63,22,27.3,36.4,0.019,,n不足
25,23,26.1,65.2,-0.003,,n不足
16,20,25.0,35.0,-0.03,,n不足
59,16,25.0,50.0,0.08,,n不足
35,21,23.8,38.1,0.013,,n不足
22,21,23.8,33.3,0.003,,n不足
37,17,23.5,47.1,0.044,,n不足
32,22,22.7,36.4,-0.003,,n不足
67,22,22.7,45.5,0.024,,n不足
71,22,22.7,36.4,0.016,,n不足
14,23,21.7,39.1,0.041,,n不足
39,19,21.1,47.4,0.063,,n不足
75,24,20.8,33.3,0.011,,n不足
44,20,20.0,50.0,-0.0,,n不足
45,22,18.2,18.2,0.046,,n不足
24,17,17.6,35.3,-0.012,,n不足
20,18,16.7,27.8,-0.041,,n不足
74,20,15.0,30.0,0.004,,n不足
69,20,15.0,45.0,-0.002,,n不足
34,22,13.6,45.5,0.02,,n不足
70,21,9.5,14.3,-0.001,,n不足
57,16,6.2,25.0,0.025,,n不足
